request_id,department,source_system,asset_id,section_id,track_id,start_km,end_km,defect_type,severity,duration_minutes,earliest_start,latest_deadline,speed_restriction_kmph,machinery_required,power_block_required,elementary_section_id,status,scenario_tag
REQ-3001,ENGINEERING,SIMULATED_TMS,AST-TRK-1137,CNB-PRYJ,CNB-PRYJ-UP,61.3,71.5,RAIL_FRACTURE_RISK,EMERGENCY,180,2026-10-01 08:00:00,2026-10-02 00:00:00,30,"[""TAMPING_01""]",False,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3002,ENGINEERING,SIMULATED_TMS,AST-TRK-1044,GZB-ALJN,GZB-ALJN-DN,21.0,31.5,OVERDUE_TAMPING,ROUTINE,240,2026-10-05 06:00:00,2026-10-10 06:00:00,0,"[""TAMPING_02""]",False,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3003,ENGINEERING,SIMULATED_TMS,AST-TRK-1119,ETW-CNB,ETW-CNB-DN,42.8,53.5,RAIL_FRACTURE_RISK,EMERGENCY,180,2026-10-01 09:00:00,2026-10-02 03:00:00,30,"[""TAMPING_01""]",False,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3004,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1151,CNB-PRYJ,CNB-PRYJ-UP,155.2,155.4,TRACK_CIRCUIT_INTERMITTENT_DROP,CRITICAL,75,2026-10-03 08:00:00,2026-10-05 08:00:00,45,[],False,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3005,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1085,TDL-ETW,TDL-ETW-UP,73.6,73.8,SNT_CABLE_MEGGERING_INSPECTION,ROUTINE,120,2026-10-05 01:00:00,2026-10-09 01:00:00,0,[],False,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3006,TRD,SIMULATED_TDMS,AST-OHE-1020,NDLS-GZB,NDLS-GZB-DN-SLOW,0.0,25.0,NEUTRAL_SECTION_PTFE_REPLACEMENT,ROUTINE,180,2026-10-04 06:00:00,2026-10-11 06:00:00,0,"[""TOWER_WAGON_02""]",True,ES-NDLS-GZB,PENDING,BASE_POOL
REQ-3007,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1008,NDLS-GZB,NDLS-GZB-DN-FAST,7.5,7.6,POINT_MACHINE_DETECTION_FAILURE,EMERGENCY,90,2026-10-02 09:00:00,2026-10-03 01:00:00,30,[],False,ES-NDLS-GZB,PENDING,BASE_POOL
REQ-3008,TRD,SIMULATED_TDMS,AST-OHE-1074,ALJN-TDL,ALJN-TDL-DN,0.0,78.0,CONTACT_WIRE_PARTING_RISK,CRITICAL,150,2026-10-04 07:00:00,2026-10-05 07:00:00,45,"[""TOWER_WAGON_01""]",True,ES-ALJN-TDL,PENDING,BASE_POOL
REQ-3009,ENGINEERING,SIMULATED_TMS,AST-TRK-1080,TDL-ETW,TDL-ETW-UP,51.1,61.3,OVERDUE_TAMPING,ROUTINE,240,2026-10-01 10:00:00,2026-10-08 10:00:00,0,"[""TAMPING_02""]",False,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3010,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1172,CNB-PRYJ,CNB-PRYJ-DN,58.2,58.3,SIGNAL_ASPECT_LED_BURNOUT,URGENT,45,2026-10-05 03:00:00,2026-10-09 03:00:00,0,[],False,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3011,ENGINEERING,SIMULATED_TMS,AST-TRK-1058,ALJN-TDL,ALJN-TDL-UP,33.4,44.6,OVERDUE_TAMPING,ROUTINE,240,2026-10-05 07:00:00,2026-10-11 07:00:00,0,"[""TAMPING_02""]",False,ES-ALJN-TDL,PENDING,BASE_POOL
REQ-3012,TRD,SIMULATED_TDMS,AST-OHE-1074,ALJN-TDL,ALJN-TDL-DN,0.0,78.0,INSULATOR_HEAVY_POLLUTION_CLEANING,URGENT,90,2026-10-01 01:00:00,2026-10-05 01:00:00,0,"[""TOWER_WAGON_02""]",True,ES-ALJN-TDL,PENDING,BASE_POOL
